@relation LibReaderClassificationProblem

@attribute bookname string
@attribute author string
@attribute publisher string
@attribute topic string
@attribute categorycode string
@attribute acquirecode string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
Android典型技术模块开发详解,赵启朋,北京中国铁道出版社2012,移动电话机,TN929.53-39,TN929.53-39/Z317.66,chi,科学技术
代码整洁之道,马丁,北京人民邮电出版社2010,程序设计,TP311.52,TP311.52/M124-1,chi,科学技术
编程之魂,比安库齐,北京电子工业出版社2010,程序语言,TP312,TP312/B415,chi,科学技术
婚然天成,吕苗,北京中国文联出版社2009,长篇小说,I247.57,I247.57/L850.4,chi,人文科学
进入IT企业必读的324个Java面试题,张昆,北京电子工业出版社2011,JAVA语言,TP312-44,TP312-44/Z316.40,chi,科学技术
幸福的苹果控,老草吃嫩牛,北京中国文联出版社2010,长篇小说,I247.57,I247.57/L171.15,chi,人文科学
iPhone游戏编程实例,马克,北京人民邮电出版社2010,移动电话机,TN929.53-39,TN929.53-39/M142,chi,科学技术
iPhone创意开发入门与实战,XMobileApp,北京人民邮电出版社2010,移动电话机,TN929.53,TN929.53/X5,chi,科学技术
iPhone应用程序开发指南,张英锋,济南山东科学技术出版社2010,移动电话机,TN929.53,TN929.53/Z316.92,chi,科学技术
汇编语言程序设计,王成耀,北京机械工业出版社2003,汇编语言,TP313,TP313/W161.9-1,chi,科学技术
再危机,'谢国忠,',南京江苏文艺出版社2010,经济,F12,F12/X423.9,chi,社会科学
李敖这个人,陈才生,北京新华出版社2004,'李敖,',K825.6=7,K825.6=7/C325.17,chi,人文科学
数据结构,李云清,北京人民邮电出版社2004,数据结构,TP311.12,TP311.12/L496,chi,科学技术
中国悬疑小说年选,'汤哲声,',南京江苏文艺出版社2007,中篇小说,I247.5,I247.5/T169.7,chi,人文科学
谁说本科生找不到好工作,卡玛,北京中国青年出版社2008,大学生,G647.38,G647.38/K150,chi,社会科学
杀人游戏之现场直播,孙浩元,重庆重庆出版社2009,长篇小说,I247.5,I247.5/S853.9,chi,人文科学
全国计算机等级考试二级教程,田淑清,北京高等教育出版社1998,电子计算机,TP3,TP3/T415.76,chi,科学技术
阶梯课堂,康昱,北京人民邮电出版社2008,动画,TP391.41,TP391.41/K165.0,chi,科学技术
把海倒进杯子,吴稼祥,北京知识出版社2003.1,散文,I267,I267/W849.1,chi,人文科学
郁秀和花季.雨季,郁秀,深圳海天出版社1998.10,随笔,I267,I267/Y890.1,chi,人文科学
美丽的错觉,张韦温,北京华艺出版社1997.7,散文,I267,I267/Z316.88,chi,人文科学
'MATLAB 7.0从入门到精通',刘保柱,北京人民邮电出版社2010,算法语言,TP312MA,TP312MA/L481.9,chi,科学技术
当代跨国公司管理,陈向东,北京机械工业出版社2007,跨国公司,F276.7,F276.7/C325.92,chi,社会科学
MATLAB语言及实践教程,朱衡君,北京清华大学出版社北京交通大学出版社2009,MATLAB语言,TP312MA,TP312MA/Z383.4,chi,科学技术
每天读点菜根谭,'洪应明,',北京中央编译出版社2011,《菜根谭》,B825,B825/H769.5-25,chi,人文科学
批判的思考,摩尔,北京东方出版社2008,形式逻辑,B812,null,chi,人文科学
C#课程设计案例精编,段德亮,北京清华大学出版社2008,C语言,TP312C,TP312C/D952.5,chi,科学技术
好学的C++,奥弗兰,北京人民邮电出版社2012,C语言,TP312C,TP312C/A728,chi,科学技术
有一种口才叫幽默,李志敏,北京中国纺织出版社2009,幽默(美学),H019-49,H019-49/L495,chi,人文科学
批评的西方哲学史,'奥康诺,',北京东方出版社2005,哲学史,B5,B5/A741,chi,人文科学
英汉互译理论与实务,王爱琴,南京南京大学出版社2011,英语,H315.9-43,H315.9-43/W161.6,chieng,人文科学
操作系统要点与解题,陆丽娜,西安西安交通大学出版社2006,操作系统,TP316,TP316/L855,chi,科学技术
操作系统设计与实现,'塔南鲍姆,',北京电子工业出版社2007,操作系统,TP316,TP316/T151,chi,科学技术
英语背诵范文精华,谭卫国,上海华东理工大学出版社2009,英语,H319.4,H319.4/T158.3-5,engchi,人文科学
犹太人为什么聪明,亚伯拉,北京中央编译出版社2007,犹太人,K18-49,K18-49/Y115,chi,人文科学
犹太人的财富智慧,'玛格尔,',北京电子工业出版社2011,犹太人,F715-49,F715-49/M132,chi,社会科学
实用大学英语语法讲座与测试,张建宁,南京东南大学出版社2009,英语,H314,H314/Z316.451,chieng,人文科学
C语言入门经典,霍顿,北京清华大学出版社2008,C语言,TP312C,TP312C/H872-1,chi,科学技术
编程之道,詹姆斯,北京电子工业出版社2006,程序设计,TP311.1-02,TP311.1-02/Z315,chieng,科学技术
'Programming pearls =','Bentley, Jon Louis.',null,null,null,TP311.1/B257.4,null,自然科学
麻辣日本史,陈伟,北京机械工业出版社2009,近代史,K313.41,K313.41/C325.80,chi,人文科学
嵌入式系统原理与开发,夏靖波,西安西安电子科技大学出版社2006,微处理器,TP311.1,TP311.1/X414.1,chi,科学技术
数据库原理与技术,尹为民,武汉武汉大学出版社2007,数据库,TP311.13,TP311.13/Y458.5-1,chi,科学技术
数据挖掘实用机器学习技术,'威滕,',北京机械工业出版社2006,数据采集,TP274,TP274/W247,chi,科学技术
李开复的人才观,刘青,北京中国纺织出版社2007,人才观,C96,C96/L486.0,chi,社会科学
'贯通Java Web开发三剑客',党海峰,北京电子工业出版社2008,JAVA语言,TP312JA,TP312JA/D163.2,chi,科学技术
'Tomcat 与 Java Web 开发技术详解',封超,北京清华大学出版社2008,JAVA语言,TP312JA,TP312JA/F261.0,chi,科学技术
广州美术学院教学素描典藏,王见,南宁广西美术出版社2009,素描,J224,J224/W164.0,chi,人文科学
Photoshop经典案例完美表现200例,杨格,北京清华大学出版社2008,'图形软件, Photoshop',TP391.41,TP391.41/Y163.0-1,chi,科学技术
神功利器,陶丽,北京清华大学出版社2008,'三维动画软件, 3ds max 9',TP391.41,TP391.41/T175.0-1,chi,科学技术
Photoshop影像合成艺术效果100例,新知互动,北京人民邮电出版社2008,'图形软件, Photoshop',TP391.41,TP391.41/X932-2,chi,科学技术
'ASP.NET 3.5 高级编程','埃维耶恩,',北京清华大学出版社2008,计算机网络,TP393.09,TP393.09/A482,chi,科学技术
爱的艺术,弗罗姆,上海上海译文出版社2008,爱情,B84-06,B84-06/F858-2,chi,人文科学
'Photoshop CS3中文版艺术沙龙',周建国,北京人民邮电出版社2008,'图形软件, Photoshop CS3',TP391.41,TP391.41/Z378.43-7,chi,科学技术
动画编剧创作,'张春景, 张强, 郭建芳, 武珉, 郝静, 刘正宏, 崔胜杰',北京国防工业出版社2012,动画片,J954,J954/C325.74,chi,人文科学
威尔.艾斯纳漫画教程,艾斯纳,上海上海人民美术出版社2011,动画片,J954.1,J954.1/A474-1,chi,人文科学
分镜头脚本设计,王海智,北京中国传媒大学出版社2012,'镜头 (电影艺术镜头)',J931,J931/W163.9,chi,人文科学
诗经别裁,扬之水,北京中华书局2007,诗经,I207.222,I207.222/Y169.7,chi,人文科学
