@relation LibReaderClassificationProblem

@attribute userid string
@attribute username string
@attribute major string
@attribute college string
@attribute bookname string
@attribute author string
@attribute topic string
@attribute lang string
@attribute Class {人文科学,自然科学,社会科学,科学技术,其他}

@data
20100100001,username,英语（高级翻译）,英语语言文化学院,中国古典诗歌英译理论研究,丛滋杭,古典诗歌,chi,人文科学
20100100001,username,英语（高级翻译）,英语语言文化学院,何处是归程,渡边淳一,自传体小说,chi,人文科学
20100100001,username,英语（高级翻译）,英语语言文化学院,最爱唐宋词,许渊冲,英语,chieng,人文科学
20100100001,username,英语（高级翻译）,英语语言文化学院,杜甫诗选,'许渊冲,',杜诗,chi,人文科学
20100100001,username,英语（高级翻译）,英语语言文化学院,汉诗英译研究,吴伏生,诗歌,chi,人文科学
20100100001,username,英语（高级翻译）,英语语言文化学院,神的孩子全跳舞,'村上春树,',短篇小说,chi,人文科学
20100100001,username,英语（高级翻译）,英语语言文化学院,纯理功能的传译,赵德全,英语,chi,人文科学
20100100001,username,英语（高级翻译）,英语语言文化学院,英译宋词集萃,'卓振英,',英语,chieng,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,'The five people you meet in heaven /','Albom, Mitch,',null,chi,自然科学
20100100002,username,英语（高级翻译）,英语语言文化学院,三十岁的汪涵,'汪涵,','汪涵,',chi,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,动物农场,奥韦尔,英语,chi,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,大学汉英翻译教程,董晓波,英语,chieng,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,微反应,姜振宇,反应(心理学),chi,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,戏剧翻译研究,孟伟根,戏剧文学,chieng,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,捕蜂器,班克斯,长篇小说,chi,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,相约星期二,'阿尔博姆,',人生哲学,chi,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,真实的格林童话,格林,童话,chi,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,走遍法国,卡佩勒,法语,chifre,人文科学
20100100002,username,英语（高级翻译）,英语语言文化学院,'非常罪 非常美',毛尖,电影评论,chi,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,8天跨越求职面试英语,鸿升,职业选择,chieng,人文科学
20100100003,username,英语（高级翻译）,英语语言文化学院,'A short history of English literature /','Liu, Bingshan',null,chi,自然科学
